Designator,Comment,Footprint,LCSC Part Number
"R6,R7,R8,R9,R10,R11,R12,R13",150,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17471
"R2,R3,R4,R5,R15",10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
R1,50k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17737
A1,Arduino_Nano_v3.x,Module:Arduino_Nano,
"Q1,Q2,Q3",BSS138,Package_TO_SOT_SMD:SOT-23,C78284
J1,Conn_01x02,Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,
J2,Conn_01x05_Pin,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
R14,LDR07,OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical,
"D1,D2,D3,D4,D5,D6,D7,D8",LED,LED_THT:LED_D5.0mm,
SW1,SW_Push,Button_Switch_THT:SW_SPST_Omron_B3F-40xx,
